Optimal Tours for MLIP solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
  22   |   1   |807.05     |822.05     |     Belconnen - Wayfarer
   3   |   1   |   825     |   840     |     28c/21 Beissel Street, Belconnen
   4   |   1   |   855     |   870     |     51/20 Beissel Street, Belconnen
   2   |   1   |   880     |   895     |     7/132 Totterdell Street, Belconnen
   9   |   1   |897.97     |912.97     |     46/39 Benjamin Way, Belconnen - Sentinel
   6   |   1   |931.19     |946.19     |     53b/9 Chandler Street, Belconnen
  20   |   1   |   965     |   980     |     8/46 Catchpole Street, Macquarie
  17   |   1   |983.09     |998.09     |     20/41 Chandler Street, Belconnen - ALTITUDE

Path for instance 17
 LocId | Prize |  Arrival  |   Leave   |     Location
   2   |   1   |   540     |   555     |     7/51 Hampton Circuit, Yarralumla
   1   |   1   |556.85     |571.85     |     9 Irwin Street, Yarralumla
  13   |   1   |583.49     |598.49     |     4 Hamilton Row, Yarralumla
  19   |   1   |611.34     |626.34     |     19 Newman Street, Yarralumla
  14   |   1   |   630     |   645     |     22/6 Grose Street, Deakin
  10   |   1   |655.26     |670.26     |     24 Gawler Crescent, Deakin
  23   |   1   |672.64     |687.64     |     33 Newdegate Street, Deakin
   4   |   1   | 689.9     | 704.9     |     7/47 Hampton Circuit, Yarralumla
   6   |   1   |   705     |   720     |     16/41 Hampton Circuit, Yarralumla
   7   |   1   |720.92     |735.92     |     17/41 Hampton Circuit, Yarralumla
  20   |   1   |738.17     |753.17     |     11 Hunter Street, Yarralumla
  17   |   1   |   765     |   780     |     50 Schlich Street, Yarralumla
  11   |   1   |792.33     |807.33     |     89 Schlich Street, Yarralumla
  16   |   1   |   810     |   825     |     80 Jervois Street, Deakin
   5   |   1   |   840     |   855     |     6/43 Hampton Circuit, Yarralumla
   9   |   1   |   870     |   885     |     115 Schlich Street, Yarralumla
  15   |   1   |   900     |   915     |     5/51 Musgrave Street, Yarralumla

Path for instance 18
 LocId | Prize |  Arrival  |   Leave   |     Location
   1   |   1   |   540     |   555     |     46/7 Medley Street, Chifley
   5   |   1   |   575     |   590     |     36/179 Melrose Drive, Lyons
  11   |   1   |   600     |   615     |     66a Collings Street, Pearce
  24   |   1   | 626.2     | 641.2     |     7 Irving Street, Phillip
  23   |   1   |   645     |   660     |     56/12 Albermarle Place, Phillip, ACT
  19   |   1   | 664.6     | 679.6     |     19/6 Kemsley Place, Pearce
   2   |   1   | 691.1     | 706.1     |     51/17 Medley Street, Chifley
  15   |   1   |709.31     |724.31     |     127 Theodore Street, Curtin
  22   |   1   |727.99     |742.99     |     49a/12 Albermarle Place, Phillip
   8   |   1   |744.75     |759.75     |     10/60 Callam Street, Phillip
   3   |   1   |762.79     |777.79     |     1 Welsh Place, Chifley
   7   |   1   |   780     |   795     |     5 Haswell Place, Chifley
   4   |   1   |797.22     |812.22     |     73/17 Medley Street, Chifley - The Hermitage
  18   |   1   |820.59     |835.59     |     19/21 Alsop Close, Phillip
  12   |   1   |   840     |   855     |     38/5 Burnie Street, Lyons
   9   |   1   |   870     |   885     |     13 Hodgson Crescent, Pearce
  10   |   1   |   910     |   925     |     119/98 Corinna Street, Phillip
  20   |   1   |   945     |   960     |     119/116 Easty Street, Phillip

Path for instance 19
 LocId | Prize |  Arrival  |   Leave   |     Location
  10   |   1   |   555     |   570     |     79 Theodore Street, Curtin
   6   |   1   |572.62     |587.62     |     36/179 Melrose Drive, Lyons
   3   |   1   |590.14     |605.14     |     7/10 Tasman Place, Lyons
   1   |   1   |606.05     |621.05     |     1b Chappell Street, Lyons
   9   |   1   |628.54     |643.54     |     54 James Street, Curtin
   8   |   1   | 645.4     | 660.4     |     7 Irving Street, Phillip
  25   |   1   |663.19     |678.19     |     129/116 Easty Street, Phillip
  15   |   1   |682.29     |697.29     |     35 James Place, Curtin
  17   |   1   |698.96     |713.96     |     11 Argyle Place, Curtin
   4   |   1   |715.76     |730.76     |     127 Theodore Street, Curtin
  12   |   1   | 733.4     | 748.4     |     10/60 Callam Street, Phillip
   7   |   1   |   750     |   765     |     58/179 Melrose Drive, Lyons
  23   |   1   |767.48     |782.48     |     1 Welsh Place, Chifley
  14   |   1   |   795     |   810     |     5 Malara Street, Waramanga
  19   |   1   |817.08     |832.08     |     27 Woralul Street, Waramanga
   2   |   1   | 836.6     | 851.6     |     38/5 Burnie Street, Lyons
  22   |   1   |   855     |   870     |     2/83 Carruthers Street, Curtin
  11   |   1   |   885     |   900     |     3a Olympus Way, Lyons
  24   |   1   |   915     |   930     |     119/116 Easty Street, Phillip
  16   |   1   |   945     |   960     |     36 Macalister Crescent, Curtin

Path for instance 20
 LocId | Prize |  Arrival  |   Leave   |     Location
  20   |   1   |   540     |   555     |     20 Spofforth Street, Holt
   7   |   1   |   570     |   585     |     51 Kriewaldt Circuit, Higgins
  17   |   1   |588.54     |603.54     |     33a Mcmaster Street, Scullin
   5   |   1   |607.73     |622.73     |     5 Beaurepaire Crescent, Holt
   2   |   1   |625.13     |640.13     |     218 Osburn Drive, Macgregor
  12   |   1   |   645     |   660     |     3 Kieran Place, Holt
   1   |   1   |670.14     |685.14     |     18/31 Moyes Crescent, Holt
  23   |   1   |   690     |   705     |     10/9 Keith Street, Scullin
  24   |   1   |714.58     |729.58     |     3 Want Place, Latham
  22   |   1   |   735     |   750     |     8/2 Adair Street, Scullin , ACT
  11   |   1   |760.64     |775.64     |     7 Eaves Street, Holt
   6   |   1   |   780     |   795     |     4/15 Wanliss Street, Latham
   8   |   1   |   810     |   825     |     17 Paterick Place, Holt
  13   |   1   |   855     |   870     |     15 Laycock Place, Holt

Path for instance 21
 LocId | Prize |  Arrival  |   Leave   |     Location
  11   |   1   |   510     |   525     |     34 Kurrama Close, Ngunnawal
   2   |   1   |   540     |   555     |     1/217 Kosciuszko Avenue, Palmerston
  12   |   1   |568.67     |583.67     |     78 Amagula Avenue, Ngunnawal
  14   |   1   |   585     |   600     |     2/3 Bural Court, Ngunnawal
  21   |   1   |604.69     |619.69     |     33 Kangaroo Close, Nicholls
  24   |   1   |624.69     |639.69     |     33/6 Gungahlin Place, Gungahlin
  19   |   1   |641.54     |656.54     |     4 Gribble Street, Gungahlin
  20   |   1   |658.02     |673.02     |     77 Gozzard Street, Gungahlin
   7   |   1   | 675.1     | 690.1     |     110/100 Gungahlin Place, Gungahlin
  16   |   1   |691.25     |706.25     |     67/10 Hinder Street, Gungahlin
   5   |   1   |   715     |   730     |     2 Noble Close, Ngunnawal
  17   |   1   |734.33     |749.33     |     13/19 Elvire Place, Palmerston
  23   |   1   |755.01     |770.01     |     4 Medhurst Crescent, Crace
  15   |   1   |779.62     |794.62     |     68 Langtree Crescent, Crace
  10   |   1   |   795     |   810     |     43 Langtree Crescent, Crace
