Optimal Tours for FPT solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
Path for instance 19
 LocId | Prize |  Arrival  |   Leave   |     Location
  20   |   1   |   540     |   555     |     46/7 Medley Street, Chifley
  10   |   1   |559.06     |574.06     |     79 Theodore Street, Curtin
   3   |   1   |578.66     |593.66     |     7/10 Tasman Place, Lyons
   1   |   1   |   600     |   615     |     1b Chappell Street, Lyons
   9   |   1   |617.76     |632.76     |     54 James Street, Curtin
   8   |   1   |634.62     |649.62     |     7 Irving Street, Phillip
   5   |   1   |   660     |   675     |     23/6 Marrawah Street, Lyons
  17   |   1   |677.06     |692.06     |     11 Argyle Place, Curtin
  15   |   1   |693.78     |708.78     |     35 James Place, Curtin
   4   |   1   | 709.9     | 724.9     |     127 Theodore Street, Curtin
  12   |   1   |   730     |   745     |     10/60 Callam Street, Phillip
   7   |   1   | 746.6     | 761.6     |     58/179 Melrose Drive, Lyons
  23   |   1   |764.08     |779.08     |     1 Welsh Place, Chifley
  14   |   1   |783.33     |798.33     |     5 Malara Street, Waramanga
  19   |   1   |   810     |   825     |     27 Woralul Street, Waramanga
   2   |   1   |829.52     |844.52     |     38/5 Burnie Street, Lyons
  22   |   1   |847.92     |862.92     |     2/83 Carruthers Street, Curtin
  11   |   1   |867.42     |882.42     |     3a Olympus Way, Lyons
  13   |   1   |   910     |   925     |     119/98 Corinna Street, Phillip
  16   |   1   |928.92     |943.92     |     36 Macalister Crescent, Curtin

Path for instance 20
 LocId | Prize |  Arrival  |   Leave   |     Location
  20   |   1   |   540     |   555     |     20 Spofforth Street, Holt
  21   |   1   |   570     |   585     |     15 Boniwell Street, Higgins
   7   |   1   |587.51     |602.51     |     51 Kriewaldt Circuit, Higgins
   5   |   1   |604.53     |619.53     |     5 Beaurepaire Crescent, Holt
   2   |   1   |621.93     |636.93     |     218 Osburn Drive, Macgregor
  12   |   1   |640.07     |655.07     |     3 Kieran Place, Holt
   3   |   1   |657.87     |672.87     |     34/68 Hardwick Crescent, Holt
  23   |   1   |677.98     |692.98     |     10/9 Keith Street, Scullin
  16   |   1   |696.06     |711.06     |     132 Pennefather Street, Higgins
  24   |   1   |716.22     |731.22     |     3 Want Place, Latham
  11   |   1   |737.64     |752.64     |     7 Eaves Street, Holt
   6   |   1   |   757     |   772     |     4/15 Wanliss Street, Latham
   8   |   1   |   810     |   825     |     17 Paterick Place, Holt
  13   |   1   |   855     |   870     |     15 Laycock Place, Holt

Path for instance 21
 LocId | Prize |  Arrival  |   Leave   |     Location
  11   |   1   |   510     |   525     |     34 Kurrama Close, Ngunnawal
   2   |   1   |   540     |   555     |     1/217 Kosciuszko Avenue, Palmerston
  12   |   1   |557.85     |572.85     |     78 Amagula Avenue, Ngunnawal
  14   |   1   |   585     |   600     |     2/3 Bural Court, Ngunnawal
  21   |   1   |604.69     |619.69     |     33 Kangaroo Close, Nicholls
  19   |   1   |624.37     |639.37     |     4 Gribble Street, Gungahlin
  20   |   1   |640.85     |655.85     |     77 Gozzard Street, Gungahlin
  24   |   1   |657.25     |672.25     |     33/6 Gungahlin Place, Gungahlin
   7   |   1   |   675     |   690     |     110/100 Gungahlin Place, Gungahlin
  16   |   1   |691.15     |706.15     |     67/10 Hinder Street, Gungahlin
   5   |   1   |710.07     |725.07     |     2 Noble Close, Ngunnawal
  17   |   1   |729.23     |744.23     |     13/19 Elvire Place, Palmerston
  23   |   1   |   750     |   765     |     4 Medhurst Crescent, Crace
  15   |   1   | 767.1     | 782.1     |     68 Langtree Crescent, Crace
